Network,Data Type,Graph Model,ESHD,AUROC,NegLL
1,er20,er20,66.55001,0.803139860595401,2183.086
1,er20,er80,140.70001,0.6561787505699954,1756.1038
1,er80,er20,136.15002,0.5847096997260566,2950.6462
1,er80,er80,114.45001,0.5698289848134259,2109.2446
2,er20,er20,60.250004,0.8002447766413148,1939.3282
2,er20,er80,145.34999,0.7072733630562111,1561.7352
2,er80,er20,135.60002,0.5626479427644351,2645.974
2,er80,er80,112.899994,0.6525040559589351,2080.046
3,er20,er20,65.70001,0.7277734067663257,2081.316
3,er20,er80,152.90001,0.5921846315237346,1634.9591
3,er80,er20,137.74998,0.5283533116350454,2778.614
3,er80,er80,113.6316,0.5740387923050462,2103.4954
4,er20,er20,66.65002,0.7200658952105432,1970.8717
4,er20,er80,151.55006,0.5713596914175507,1734.9097
4,er80,er20,137.0,0.5662436948297603,3030.305
4,er80,er80,115.49999,0.5507566204287515,2445.164
5,er20,er20,69.05,0.751412429378531,1908.6829
5,er20,er80,148.74998,0.5132031441906164,1598.856
5,er80,er20,135.60002,0.6118773644388399,2550.551
5,er80,er80,122.70001,0.318818306010929,1985.3959
6,er20,er20,80.30002,0.7171142857142856,2125.4165
6,er20,er80,150.99997,0.5307142857142858,1725.9027
6,er80,er20,134.69998,0.5957203656998739,2815.7869
6,er80,er80,114.050026,0.5165379361076082,2136.7979
7,er20,er20,61.25001,0.6289617994237382,1987.9574
7,er20,er80,147.74998,0.6888186634445581,1551.803
7,er80,er20,135.85002,0.5910366693521141,2552.7095
7,er80,er80,111.75001,0.5465968450323553,2123.901
8,er20,er20,64.84998,0.7636304158185518,1822.715
8,er20,er80,146.00003,0.7340069787728991,1588.5015
8,er80,er20,137.24998,0.5791692938209332,2777.5305
8,er80,er80,118.70001,0.49823980664144596,2208.2043
9,er20,er20,73.05002,0.7247774984713636,1994.1094
9,er20,er80,153.24994,0.5902235206196074,1673.3495
9,er80,er20,133.90001,0.5833798771243917,2687.483
9,er80,er80,116.69998,0.5543631479560627,2320.1956
10,er20,er20,68.35001,0.806712412528025,1933.2087
10,er20,er80,149.50003,0.6765405258509409,1662.6061
10,er80,er20,136.6,0.5557077024358131,2382.493
10,er80,er80,117.649994,0.5378011849901251,1449.241
